title,content,tokens,url
What are my payment options?,"If you're on a paid plan, your monthly/annual subscription fee will be deducted from your default Revolut Business account, which you can find and edit in your Billing page.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/what-are-my-payment-options
When does my billing period start?,"You'll be charged your subscription fee as soon as your account becomes fully operational or you change your pricing plan. Depending on whether your plan is monthly or annual, you'll be charged on the same day of the next month or year. Your allowances will reset monthly on the same day of the month (note that there can be up to 24 hours lag between subscription fee charged and plan allowances reset).If you choose to change your plan mid-billing cycle, your subscription will start again and your allowances will be reset according to your new plan immediately.To see your current plan, billing date, allowances and usage, click here.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/when-does-my-billing-period-start
Where can I see my plan allowance and usage?,"Plan allowances reset monthly on both monthly and annual plans. You can check your billing dates and allowances on the Billing page.From the web:Go to the settings page by clicking on your account name in the top left cornerOpen BillingOn the mobile app:Head to HomeTap on your profile in the top left cornerOn profile page, tap Billing",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/where-can-i-see-my-plan-allowance-and-usage
How to change my Revolut Business subscription plan?,"To change your plan:Go to the settings page by clicking on your profile in the top left cornerOpen 'Billing'Click 'Change plan' to view and select the plan you would like to change to.If you are downgrading your plan, you must pay 49 GBP (or equivalent currency) for any free Metal card which has been issued within the last 3 months and is not available on your new plan. After 3 months, you can downgrade your plan and keep Metal cards without any fees.You can upgrade your plan at any time but you can only schedule a downgrade for the end of your current billing cycle. If you wish to downgrade your plan immediately or you have other issues with your plan, please reach out to our chat support.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/upgrading-my-business-plan
Can I cancel my subscription?,"We’re confident that you’ll love our business account, but if you decide it’s not for you, you can close your account anytime. You won’t be charged for cancelling your plan.To contact support, click here. If you would like to close your account, please see here.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/can-i-cancel-my-subscription
What are the differences between Company and Freelancer Business plans?,"We offer two types of business accounts within our Pricing Plans.Freelancer accounts are dedicated to freelancers, sole traders, sole proprietors (for US registered companies).Freelancer accounts are held under your name, not the name of your companyBank transfers that you send and receive are displayed under your nameYou will not be able to use your company's trade name with your account detailsCompany accounts are for companies that are already registered in your local Government Business Registration Service.Revolut Business cannot support your company if it doesn't have a valid registration numberTo open a company account, you must have all the required documents to submit during the onboarding processYour company must also be fully incorporatedIf you've started an application for a Company account, but you're a Freelancer, and your application is not completed yet, please raise a support request so we can switch your Business account application to Freelancer. In this case, you won't be able to change back to a Company account unless you apply again.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/what-are-the-differences-between-company-and-freelancer
Can I have an invoice for your charges?,"We provide invoices only for plan fees and charges for Payroll/Expenses features. In case you're looking for other charges, you can find those in your bank statement.To find your invoice for our fees:Go to settings by tapping on your profile, in the top left cornerOpen the 'Billing' sectionTap on 'Invoice' button to check the details of the current billing cycleOr tap on 'View history' and select the period to access invoices from previous billing cyclesTap on the download button at the top of the invoice statementNote: As per the legal VAT notice, our charged fees are tax exempt.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/can-i-have-an-invoice-for-your-charges
How can I get Custom plan?,"To request a custom Enterprise plan from the web:Go to the settings page by clicking on your account name in the top left cornerOpen BillingClick Change planGo to 'Enterprise plan' and click Discuss a custom planOn the mobile app:Head to HomeTap on your profile in the top left cornerOn your profile page, tap BillingTap Change planGo to 'Enterprise plan' and tap Discuss a custom planAfter you submit the request, our team will be in touch to discuss the plan price and allowances for your business. You'll be notified once your plan is ready.Note: custom Enterprise plans are only available for Company accounts.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/how-can-i-get-custom-plan
How can I change to annual/monthly billing?,"To change your plan's billing period from the website:Go to the settings page by clicking on your account name in the top left cornerOpen 'Billing'Click 'Change plan'Go to your plan and click on 'Switch to annual' or 'Switch to monthly'On the mobile app:Head to 'Home'Tap on your profile on the top left cornerOn your profile page, go to 'Billing'Tap on 'Change plan'Go to your plan and tap 'Switch to annual' or 'Switch to monthly'Note: you can only schedule a billing change for the end of your current billing cycle.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/how-can-i-change-to-annual-monthly-billing
How do I contact my Revolut Business account manager?,"If you're on a Revolut Business Scale or custom Enterprise plan, you can easily schedule a call with your account manager. If you're on our Scale plan, you can only schedule one call.You can request a call about the following topics:Schedule a business reviewOptimise my planSchedule a demoSuggest an improvementTo schedule a call with your account manager:Go to Settings by clicking your account name in the top left cornerClick 'Account manager'Choose the topic you want to discussProvide us with any specific details you wish to talk aboutClick 'Request a call'Your account manager will then call you within 2 working days. If they're unable to contact you the first time, they'll reach out again. If you're on our Enterprise plan, you can request another call in the meantime. If you haven't heard from us within 2 working days, please contact our support team so we can help.",100,https://help.revolut.com/business/help/setting-up-an-account/selecting-a-business-plan/how-to-request-a-call-with-revolut-business-account-manager
What is a multi-business account?,"This feature allows you to seamlessly manage multiple Company Revolut Business accounts on both the web and mobile platforms (temporarily not supported on Android). Once logged in, you can switch to your other linked Revolut Business accounts, saving time and hassle. To do this, you'll just need to input your passcode on the mobile app, or your password with an email two-factor verification on the website. Learn how here.",100,https://help.revolut.com/business/help/setting-up-an-account/multi-business-accounts/what-is-a-multi-business-account
How can I link or create another Revolut Business account?,"Follow the below steps to link another Revolut Business account:Click on your account icon on the upper left corner to open SettingsClick on your account name at the top of screen – here you can switch to already linked account or link other Revolut Business accountsSelect +New to link another account: enter the email address and password for the account you want to linkOnce the verification is finished, the link is live. You'll be able to click on your account name in Settings and switch to the linked Revolut Business account – saving time and hassle.On the web app, you can also select 'Register a new business' to start a new application for another company. You'll need to use a unique email address that is not registered with another Revolut Business account.To remove a linked Revolut Business account, raise a support request here.",100,https://help.revolut.com/business/help/setting-up-an-account/multi-business-accounts/how-can-i-link-an-additional-revolut-business-account
Will this linkage share my banking data between the accounts?,"No, linking business accounts will make managing process of your accounts much easier and less time-consuming, but it will not merge or share any banking data.",100,https://help.revolut.com/business/help/setting-up-an-account/multi-business-accounts/will-this-linkage-share-my-banking-data-between-accounts
Can I link my external accounts to Revolut Business?,You can now manage external UK and some Irish bank accounts from your Revolut Business web application. This is possible thanks to Open Banking API - the Revolut Business dashboard makes use of information from other providers that are also enrolled in Open Banking.How can I add an external account?Go to My Apps tab in the HubFind and select Linked appClick Add newRead and confirm permissionsSelect the bank or provider you’d like to linkFollow the steps providedYou’ll be automatically redirected you to the bank or provider’s website to authorise the linkFinished. You can now manage this account from your Linked app in Revolut BusinessHow can I remove an external account?Go to Linked appSelect the external account you’d like to unlink from Revolut BusinessSelect Settings for this accountSelect Remove access for all accountsFinished. You have successfully removed this account from Revolut Business,100,https://help.revolut.com/business/help/setting-up-an-account/multi-business-accounts/can-i-link-external-accounts-to-revolut-business
What types of currency accounts do we offer?,"Once we have opened your business account, you should receive local account details for GBP account with unique sort code and account number, a EUR account with unique IBAN and BIC details, plus a USD account with unique IBAN and BIC.You will also be able to create multiple accounts in 27+ currencies to hold, exchange and transfer your money via SWIFT or SEPA using multi-currency IBAN and BIC/SWIFT code. Use currency accounts for your business needs: put money aside for savings, set a currency account for tax purposes, create additional currency accounts for different clients, and more - it's up to you.Related articles: Finding your account details; Create a new currency account.",100,https://help.revolut.com/business/help/setting-up-an-account/managing-my-currency-accounts/what-types-of-accounts-do-we-offer
Do I earn interest in holding money on my Revolut Business account?,"No, at the moment there’s no interest on the funds held in your business account. It’s something we would like to explore in the future.",100,https://help.revolut.com/business/help/setting-up-an-account/managing-my-currency-accounts/do-i-earn-interest-in-holding-money-on-my-revolut-business-account
What if I have negative account balances?,"If your account balance is negative, this is most likely because you didn’t have enough money in your business account to cover your monthly subscription fee. All you need to do is top up your account via bank transfer to keep using your business account.Your monthly subscription fee is deducted from your Revolut business account balance. The funds will be deducted from your default currency account. To change default billing account:Open Settings pageGo to BillingSee Default Account for billing and click ChangeChoose your default currency pocket.",100,https://help.revolut.com/business/help/setting-up-an-account/managing-my-currency-accounts/what-if-i-have-negative-account-balances
How to rename a currency account?,You can rename your currency accounts as you wish.Go to your Dashboard tabClick on your total balance to open a list of your currency pocketsSelect the currency account you want to renameClick the three dots ‘...’ button to open the overflow menuSelect 'Details'Open the overflow window by clicking three dots buttonSelect 'Rename'Input desired currency account name and hit 'Save'Custom currency account names are visible on statements.,100,https://help.revolut.com/business/help/setting-up-an-account/managing-my-currency-accounts/how-to-rename-a-currency-account
How to create a new currency account?,"You can hold multiple currencies with your Revolut Business account and add new currency pockets freely. Each new pocket will have unique account details created. Also, there is no additional cost.On website:Go to your Dashboard tabOpen overflow window by clicking three dots buttonClick the Add new account button and follow next steps on the screenOn mobile app:Open the Home tab on the app that says RTap ‘...’ to show a menuClick Add new account and continue with further stepsNote: you must have ""add, remove and manage accounts"" permissions enabled to perform these actions. Contact your account admin.",100,https://help.revolut.com/business/help/setting-up-an-account/managing-my-currency-accounts/how-to-create-a-new-currency-account
How to remove or inactivate currency pocket?,"To deactivate your currency account:Go to your Dashboard tabClick on your total balanceSelect the currency account you want to deactivateOpen the overflow window by clicking the three dots ‘...’ buttonSelect “Deactivate”You will no longer be able to send money using this account and linked cards, but you can still receive money into it. Your account can be activated again at any moment.To remove your currency account:Make sure there’s no money on itSelect your empty currency pocketClick the three dots ‘...’ button to open the overflow menuSelect 'Details'Open the overflow window by clicking the three dots buttonHit 'Close'NOTE: All future transactions using that currency account will be declined and cancelled. You won't be able to reactivate the same currency account.",100,https://help.revolut.com/business/help/setting-up-an-account/managing-my-currency-accounts/how-to-remove-or-inactivate-currency-pocket
What happens to kuna (HRK) when Croatia adopts the euro (EUR) as its currency?,"From 1 January 2023, Croatia will discontinue the kuna currency and adopt the euro as its official currency.As a result, Revolut Business will no longer provide services supporting kuna from 12 December 2022. Your kuna currency account will be closed and we'll convert any remaining kuna balances you hold to euros. Read on to learn more.1. If you hold any kuna balance with us, that balance will be converted to euro automatically on 12 December 2022 at a fixed rate of 7.53450 kunas per euro. This conversion will occur automatically, free of charge, and won't change your unique account number.You can still use your kuna or convert it to any other currency of your choice before this date. (As part of a government campaign, citizens are being advised not to exchange kuna for euro before the euro is introduced. This is mostly so people don't incur any unnecessary costs. Before the changeover, banks won't be obliged to exchange kuna at the fixed, official rate. This means citizens who exchange their kuna into euro before the date of the introduction will be charged the difference between the selling rate set by a bank, or an authorised exchange office, and the fixed conversion rate).We'll remove kuna as a supported currency, so you won't be able to hold or exchange it, from 12 December 2022.2. If you don't hold any Kuna balance with us, this change won't impact you. But please note this currency will be removed from our list of supported currencies going forward.3. All regular fees payable for subscriptions, transactions services, etc. will be charged in euros instead of kuna from 12 December 2022. There are no changes to our T&Cs concerning how fees are calculated and charged, so you won't experience any additional costs as a result of this currency change.",100,https://help.revolut.com/business/help/setting-up-an-account/managing-my-currency-accounts/what-happens-to-kuna-hrk-when-croatia-adopts-the-euro-eur-as-its-currency
Can I use the Revolut Business app?,"Yes! You can download the Revolut Business app from the App Store or Google Play Store. Important to download Revolut Business app (in black background), not to be mistaken with personal accounts Revolut mobile app (in white background).As a cardholder, you can link your card to Apple Pay or Google Pay, manage your card transactions and submit expenses.As an account owner or administrator, you can oversee your accounts and transactions, send and exchange money, manage corporate cards and expenses, and more!",100,https://help.revolut.com/business/help/setting-up-an-account/can-i-use-the-revolut-business-app/can-i-use-the-revolut-business-app
Will the Revolut Business app allow me to manage my account?,"Yes! As an account owner or if you have the necessary permissions, you will be able to oversee your accounts and transactions, send and exchange money, manage corporate cards and expenses, and more!We're constantly adding features to our app. Feel free to browse our Help Center to discover more.If you are not an admin or owner of the business account, your access might be limited. To extend your permissions you should contact your account admin or owner.",100,https://help.revolut.com/business/help/setting-up-an-account/can-i-use-the-revolut-business-app/will-the-revolut-business-app-allow-me-to-manage-my-account
Can I use the Revolut Business app without a card?,"Yes! Simply log in to the app and use it, depending on what permissions you've been granted. To change your permissions, contact your account admin or owner.If you're a card holder, you'll need to have the app available to you in order to authorise some of your online card transactions, track your card payments or add them to your company's expenses.",100,https://help.revolut.com/business/help/setting-up-an-account/can-i-use-the-revolut-business-app/can-i-use-the-revolut-business-app-without-a-card
I have issues with Revolut Business mobile app,"Reset your passcodeMake sure that you log in using the same email address you used when you signed up. Log out from the mobile app to switch accounts.If you’re experiencing issues with the app, check that you have the latest version installed.Try as well to reinstall the app - make sure it's for Revolut Business (black icon).If you’re still experiencing issues, please contact our Revolut Business Support team.",100,https://help.revolut.com/business/help/setting-up-an-account/can-i-use-the-revolut-business-app/i-can-t-log-in-to-the-revolut-business-app
What cards do you offer?,"We offer two types of cards; physical (plastic or metal) and virtual. All our cards are debit, so they're likely to be accepted worldwide. We provide cards from both Visa and Mastercard.Physical cards have the company's name on the front of the card and the cardholder's name on the back of the card. Card number, CVC and expiry date are all printed on the back as well.The company name on cards can be up to 25 characters. This can be customized to an abbreviation of your registered company name or trading name. You can request support to change the company name visible on the card using this form.Note: on Freelance plans, only the account owner can hold cards and the company's name is not available. Company plans can offer cards to other individuals as well.",100,https://help.revolut.com/business/help/making-paymentsbusiness/cards-general/what-cards-do-you-offer
How many cards can I have?,"Every individual can hold up to three physical cards and up to 200 virtual cards. Limit applies to all Revolut Business plans. You can hold multiple cards for free, we don't charge any extra fees for cards. Read more about ordering the card, fees and deliveries.",100,https://help.revolut.com/business/help/making-paymentsbusiness/cards-general/how-many-cards-can-i-have
How do I order a new card?,"If an individual has already access to your account:Go to Cards tabTap 'Order card'Choose a cardholder. Make sure they're within their allowanceIf you have not invited them to join your business account yet, check our guidelines on how to add a new team member.Delivery feeThe first physical card for each team member is free. Any additional cards will be charged a delivery fee starting from 4.99 GBP (or currency equivalent) for standard shipping. You'll see the full price while ordering a card at the checkout.Delivery addressWhen ordering a card for yourself, you'll have an option to specify the address (e.g., office, home, foreign country) you'd like the card to be sent to. This also applies to team members who'll receive a card invitation.Note: you can only issue cards to other individuals on Company plans. To order new cards, you either have to be an account owner or an admin with required permissions.Troubles with card delivery or you need to cancel the order? Submit a support request here.",100,https://help.revolut.com/business/help/making-paymentsbusiness/cards-general/how-do-i-order-new-card
When will I receive my card?,"Go to Cards and click on the card you're waiting for.If you can see the Delivery address and Delivery status widget, wait until the estimation date in the order progress bar.If they're not visible, your card should have been with you already. If that's not the case, please contact Support and request a replacement card.Depending on the delivery method, for Standard, it can take up to 10 days and for Express up to 5 days to receive the card. More often than not, delivery is faster than that. If you experience any troubles, feel free to submit your support request here.",100,https://help.revolut.com/business/help/making-paymentsbusiness/cards-general/when-will-i-receive-my-card
How can I check my card details (PIN/CVC/expiry date)?,"To see your card details:Navigate to Cards tabChoose a cardClick on the Eye iconAfter a security* check, you'll be able to see or copy the card number, CVV code, expiration date and billing address.In order to view PIN number of a selected card:Click card's 'Settings'Tap 'View PIN' to reveal the card's PIN numberNote: only the individual owning the card can view this information.*If you're not able to pass the security check, this article might help.",100,https://help.revolut.com/business/help/making-paymentsbusiness/cards-general/how-can-i-check-my-card-details-pin-cvc-expiry-date
What billing address should I use for card payments?,"The billing address associated with your card is your personal address. You can find this info by following these steps:Navigate to Cards tabChoose a cardClick on the Eye icon (must be a cardholder)After a security check, you'll be able to see or copy the card number, CVV code, expiration date and billing address.Note: it's important to provide the correct billing address when shopping online.Wrong address? Submit a support request here to change the address.",100,https://help.revolut.com/business/help/making-paymentsbusiness/cards-general/what-billing-address-should-i-use-for-card-payments
What is 3DS and how do I authorise payments with it?,"3D Secure (3DS) is an additional authorisation for online card payments that helps fight against fraud. If a merchant requests it, you'll receive a push notification asking you to confirm if you're authorising a payment. You will have up to 5 minutes to decide.If you didn't receive a push notification, you can launch the Revolut Business mobile app and an authorisation prompt will appear there automatically.Note: Revolut Business has no control over which merchants require you to go through the 3D Secure process. You must be logged into a Revolut Business mobile app to complete the authorisation. Make sure you have the Revolut Business mobile app installed (black icon) and not the personal Revolut app (white icon).Feel free to raise a support request to check your card payments.",100,https://help.revolut.com/business/help/making-paymentsbusiness/cards-general/what-is-3ds-and-how-do-i-authorise-payments-with-it
How do I set up Apple/Google Pay?,"If your country is mentioned on the list below, you can add any of your physical and virtual cards to Apple/Google pay wallets.Open your mobile Revolut Business appGo to the Cards tabChoose a card with contactless payments enabled (you must be a cardholder)Tap 'Add to Apple Wallet' or 'Add to Google Pay' depending on your device and follow the instructions.You can also follow instructions on Google and Apple pages.Troubles with Google/Apple wallet? Check with our support here.Google Pay is currently available in following countries only: Anguilla, Australia, Austria, Belgium, Bulgaria, Saint Barthélemy, Switzerland, Czechia, Germany, Denmark, Estonia, Finland, the Falkland Islands (Malvinas), France, United Kingdom, French Guiana, Guernsey, Gibraltar, Greenland, Guadeloupe, Greece, South Georgia and the South Sandwich Islands, Croatia, Hungary, Ireland, Isle of Man, the British Indian Ocean Territory, Italy, Jersey, Japan, the Cayman Islands, Lithuania, Latvia, Saint Martin (French part), Martinique, Montserrat, New Caledonia, the Netherlands, Norway, New Zealand, French Polynesia, Poland, Saint Pierre and Miquelon, Pitcairn, Portugal, Réunion, Romania, Sweden, Singapore, Saint Helena, Ascension and Tristan da Cunha, Svalbard and Jan Mayen, Slovakia, the Turks and Caicos Islands, the French Southern Territories, the United States of America, Virgin Islands (British), Wallis and Futuna, Mayotte.Apple Pay is currently available in following countries only: Anguilla, Australia, Austria, Aruba, Åland Islands, Belgium, Bulgaria, Saint Barthélemy, Bermuda, Bonaire, Sint Eustatius and Saba, Switzerland, Curaçao, Cyprus, Czechia, Germany, Denmark, Estonia, Finland, the Falkland Islands (Malvinas), France, United Kingdom, French Guiana, Guernsey, Gibraltar, Greenland, Guadeloupe, Greece, South Georgia and the South Sandwich Islands, Croatia, Hungary, Ireland, Isle of Man, the British Indian Ocean Territory, Iceland, Italy, Jersey, Japan, the Cayman Islands, Lithuania, Luxembourg, Latvia, Saint Martin (French part), Martinique, Montserrat, Malta, New Caledonia, the Netherlands, Norway, New Zealand, French Polynesia, Poland, Saint Pierre and Miquelon, Pitcairn, Portugal, Réunion, Romania, Sweden, Singapore, Saint Helena, Ascension and Tristan da Cunha, Slovenia, Sint Maarten (Dutch part), Svalbard and Jan Mayen, Slovakia, the Turks and Caicos Islands, the French Southern Territories, the United States of America, Virgin Islands (British), Wallis and Futuna, Mayotte.",100,https://help.revolut.com/business/help/making-paymentsbusiness/cards-general/how-do-i-set-up-apple-google-pay
